,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,predicted_label_cat3,result
10,B00000J0NT,Crayola 120ct Original Crayons,unknown,2-Jan,5,931478400,"What a wonderful creation. Art, in our house, comes in many colors Thanks to Crayola! We unfortunately never seem to have enough crayons, though!",toys games,arts crafts,drawing painting supplies,drawing,False
11,B00000IVSN,Blue's Clues How To Host A [Toy],unknown,20/24,1,931824000,"My 4 year old loves Blue, but found this product complicated and cumbersome. The company needs to get a clue about young children. This was at about a 10 year old level. The idea is great but the execution was lacking. Overpriced and not as good as the oher Blue's Clues products that I have seen.",toys games,games,board games,unknown,False
12,B00000JN55,Pokemon Battle Figures #94 Gengar & #52 Meowth with Poke Ball and Battle Disks,unknown,0/0,5,931824000,"Meowth is the coolest, lots of play value. Great to to use kids imagination!",toys games,action toy figures,figures,unknown,False
13,B00000IWIA,Hungry Hungry Hippos,unknown,18/19,5,931824000,"Parents, don't try to play this game with your child if you have a headache! It's noisy--but so much fun! Even my 2 year old loves this game.I'm not sure how much educational value is in this game, but it's full of laughs and action. If you have active children, they'll love it. Parents--be forewarned--it's loud and pounding and bound to produce hearty laughter and squeals!",toys games,games,board games,unknown,False
14,B00000IVAK,Sequence Game,unknown,3-Mar,5,931824000,"Children as young as four can enjoy this game with their family. The youngest children will need assistance remembering to look for building to the 5 in a row sequence. Children and adults enjoy this game and it requires a level of concentration that makes for a very quiet game. Once you master this game, you don't want people talking and interrupting your thought processes. Truly this is a game for all ages, if you can match the card to the game board. A must for all singles and families. Get yours soon and enjoy!",toys games,games,board games,unknown,False
15,B00000ISPH,"Barbie Collector Edition Steppin' Out ""Great Fashions of the 20th Century"" 1930s",unknown,2-Feb,4,931910400,"1930s Steppin Out Barbie, with her long clinging gown chiffon wrap looks quite like 1930s star Jean Harlow. Harlow made the short platinum look popular and Barbie pulls it off just as well.",toys games,dolls accessories,dolls,unknown,False
16,B00000IT32,Original UNO Card Game,unknown,1-Jan,5,931910400,"My husband and I treat severly emotionally disturbed children in our home. Part of the treatment includes helping these children with their social skills. This game promotes family togetherness, as well as just plain fun. Even if you lose you still feel like youv'e won! p.s. what a great way to be able to shop. Most of the children we take care of have never been to the grocery store, much less a toy store. So usually when you take them it ends up being so overwhelming. What a blessing to be able to calmly shop at home, thank-you.Sincerely Rebecca Bidelspach",toys games,games,card games,unknown,False
17,B00000J03G,Magna doodle,unknown,20/20,5,932083200,"You can give a MagnaDoodle to any kid who's able to grasp the stylus; just babyproof it by cutting off the string that attaches the stylus to the board, and taking away the smaller accessories until the kid is old enough not to choke. Kid can then scribble to his or her heart's content without making any mess ever, and practicing a lot is how they get ready for pencils and crayons and paint etc. It's also perfect for teaching letters and numbers and shapes since you draw them each time, which is more interesting to little kids than other teaching toys. Our MagnaDoodles have tended to die of being stepped on, which warps the board and makes the erase lever difficult to slide, so keep it off the floor if you want to make it last.",toys games,arts crafts,drawing sketching tablets,drawing,False
18,B00000DMBL,Yahtzee Deluxe Edition,unknown,0/0,5,932083200,"Yahtzee is a great game that I can just play over and over again. It is also a great source for my child to learn numbers, with a fun hands-on activity. My family does not usually spend a lot of time together and we go off in our different direction. Now when I pull out Yahtzee the whole family comes together. I think that ever family should have this game in their household.",toys games,games,board games,unknown,False
19,B00000IWGB,Pokemon Master Trainer 2001,unknown,0/0,5,932428800,This game is a nice and fun game. If you have a relative under 4 yrs. old becareful because you will lose chips and the little Ash. The game is good for kids as well as Adults. The only problem is that the game is very easy to beat and to much of it can get kind of boring. But overall This is a really great game!,toys games,games,board games,unknown,False
20,B00000IWGQ,Hi Ho Cherry-O,unknown,36/36,4,932688000,"HI HO CHERRY-O IS A CLASSIC GAME BY HASBRO. IT HAS BEEN A GAME IN OUR FAMILY FOR SEVERAL YEARS AND HAS WITHSTOOD THE TEST OF TIME. HI HO CHERRY-O TEACHES CHILDREN THE CONCEPT OF COUNTING, FOLLOWING THE RULES(EVEN IF IT MEANS STARTING OVER) AND TAKING TURNS. IN SHORT IT IS A FUN FAMILY GAME. THIS IS A GREAT GAME TO START THE LITTLE ONES WITH, BUT BIG KIDS LIKE IT TOO. MY CHILDREN WILL EVENTUALLY OUT GROW HI HO CHERRY-O, BUT BECAUSE OF ITS QUALITY I WILL KEEP IT FOR MY FUTURE GRANDCHILDREN.",toys games,games,board games,board,False
21,B00000IWHB,Parcheesi Game by Milton Bradley,unknown,26/26,4,932774400,"Perfect game for the whole family. As long as the players can count, they can participate in the game. I played this game when I was only five. If you ever visit India or Bangladesh, you will find out that every household has more than one Parcheesi. Grandparents, you must have this game at home. Why? Because my grandparents had a great time playing Parcheesi with me. As a result, I had to chance to know them well. Parents, please take my advice and buy Parcheesi for your kids. If they have problem with adding and subtracting, they will learn these for sure after getting the game. Even today, I am fond of this game because it helps me relax.",toys games,games,board games,unknown,False
22,B00000ITJ4,my first fish bowl by lamaze / learning curve,unknown,7-May,5,933033600,My first fish bowl by learning curve comes across as an excellent toy for a child coming of age to understand the wonderful creations of Mother Nature. Besides being associated with the environment it should also be seen as the first steps towards inculcating a sense of tranquility and peace. A definite buy even if this is to be viewed as a mere tool to keep your child busy for endless hours.,toys games,baby toddler toys,shape sorters,unknown,False
23,B00000DMER,ThinkFun Rush Hour,unknown,3-Mar,5,933206400,What a GREAT thinking game!!! It is highly addictive and no-one in my family is able to put it down. My six year old can figure out some of the beginners so he feels like he can keep up with his older brother. I can't wait to purchase the additional card packs!!!!!!!,toys games,games,board games,card,False
24,B00000IWFF,RISK,unknown,5-Jan,5,933379200,I think that this game is fun for yet educational because you will learn where all the different countries are while having fun with your friends!,toys games,games,board games,unknown,False
25,B00005309G,"Mitchum Clear Gel Anti-Perspirant & Deodorant, Unscented for Men, 2.25 oz",unknown,1-Jan,5,933465600,"Mitchum Clear Gel Anti-Perspirant is an effective deodorant. The """"perk"""" to this product is that it does not stain or mark up your clothes, as do many deodorants and anti-perspirants. I noticed marked improvement in effectiveness. My underarms remained absolutely dry -- not an experience I've had with similar products. I would definitely recommend this because of its price and effectiveness/efficiency.",health personal care,personal care,deodorants antiperspirants,de,False
26,B00000IWDR,Guess Who? Board Game,unknown,7-Jun,5,933552000,In guess who you must think up good questions to try to figure out who the opponent's person is.You want to use the least amount of turns so that you guess there peson before they guess yours.This game includes drawins of people which are on a plastic base so that when you are asked a question for example does your person have a beard and you say no then your opponent puts all the peole with beards down so as to lessin the amount of people to guess from!This game is fun for all ages and is for 2 players only.,toys games,games,board games,unknown,False
27,B0000ABOHR,"Balance Bar Nutrition Energy Bar, 1.76-Ounce Bars (Pack of 15)",unknown,2-Feb,5,933552000,"I loved the flavor of the bars!!! I really didn't expect them to be as good as they are!!! I have had other nutritional bars that tasted really nasty. I'd buy the Balance Bars again, and plan on doing so. Even my children liked them! The bars gave me energy when I ate them in the late afternoon. They were a real pick-me-up! I'd recommend this product to a friend in a heartbeat. It's nice to know you can buy a nutritional bar that tastes good and seems more like a snack!",health personal care,nutrition wellness,nutrition bars drinks,nut,False
28,B00000ISC5,Insect Lore Live Butterfly Garden,unknown,67/71,5,933638400,My 5 year old daughter loved following the life cycle of the butterflies. I am sure she will always remember the summer we had a butterfly house.We received 5 caterpillars at exactly the time requested and all 5 caterpillars survived and became butterflies!It was wonderful to see the pride in my daughter's face when her &quot;babies&quot; were born.What a great &quot;toy&quot;!,toys games,learning education,habitats,unknown,False
29,B00000IWEW,Bop It,unknown,0/0,5,933897600,"we haven't found a toy to share with the whole family like &quot;Bop-it&quot; for years. The laughs &amp; fun kept 3 generations entertained for hours at our last family gathering during the holidays. Many members couldn't wait to buy one of their own. This kind of toy is priceless. I am going to buy one to keep at my house now, for my grandkids infrequent visits.",toys games,games,board games,unknown,False
30,B00000DMBH,Deluxe Parcheesi,unknown,8-May,5,934675200,"It's one of my favorite games ever. It's really fun trying to block people, land on them or just plain get there first!!!!!!!!!!!!",toys games,games,board games,unknown,False
31,B00000IWFB,Bop It Extreme,unknown,1-Jan,5,934848000,On my way to a great vacation in the Pocono's with my son and his family. Niita took out the toy and started playing with. I was amazed at what it can do. So I just mailed her about Extreme Bop It,toys games,electronics for kids,unknown,unknown,True
32,B00000JHQ7,Duracell MN1500B8 AA (8-Pack),unknown,10-Jul,5,935625600,"These things are absolutely marvelous! Seriously folks, these little miracles are by far the best way I've found so far to power portable gadgets, and what's even better is that all of the gadgets are designed specifically for use with these &quot;batteries&quot;. That's right! No modification necessary! Simply an ingenious product, go out and buy a pack of these things today and see what all the fuss is about! Andy",health personal care,household supplies,household batteries,unknown,False
33,B00000IZOR,Fisher-Price Toddlerz Chatter Telephone,unknown,14-Dec,4,935712000,Do you need to use your phone but can't pry it from your little ones hands...try getting this great Fisher Price phone. It is very durable and will bring smiles to your childrens faces. It makes minimual noise. They pretend for hours to call all their friends and relatives..even some I have never heard of...The little ones will love the moving eyes and as they get older they will use it when they play house. It is one of those ageless toys...(except your teenager might think otherwise) Your child can also pull this toy with the string that is provided. It may not have the NEW up-to-date look but it teaches kids to use their imagination and it saves you on buying Batteries..Yeah! Add this one to your list to buy~you will never regret it!,toys games,baby toddler toys,push pull toys,unknown,False
34,B00000GBQL,Wise and Otherwise,unknown,12-Dec,5,935884800,"We got this game as a gift, and I have to say that after reading the directions, we feared it would be a dud. BUT, were we wrong! We all laughed so much are stomachs ached and our eyes teared! Buy it, you'll love it.",toys games,games,board games,unknown,False
35,B00000IWEW,Bop It,unknown,0/0,5,936316800,This is a super game. It builds hand eye corditation and it covers folling derections. It is also a fun and easy game to play. You can not go wrong with bob it. It is the best game in years!,toys games,games,board games,unknown,False
36,B00000IS3K,Slingo Handheld,unknown,34/37,5,936403200,"I CONFESS I AM AN ADDICT!! Recently I recieved Slingo as a gift from my best friend. I had never seen or heard of this game before, but she said that it was the best game on the AOL internet and warned me that it was very addictive. I did not believe it, I thought most electronic games were basically the same. BOY WAS I WRONG!! It took me some time to learn how to play the game correctly. If you have never played Slingo before read the instruction sheet, this is one game you cannot learn just by playing with it. Once I got going it was hard for me to stop, I kept telling myself just one more game, one more! You get points by filling up the spaces on a numerical bingo card; by matching the Numbers, getting Jokers, and if you are lucky Gold Coins. You can also get Free Spins these will help you at the end of the game. Beware, with every spin you take you risk loosing half of your points to a Sneaky Little Devil with a nasty laugh. I know he is not real but sometimes I would like to reach in and strangle him. If you are very lucky and fill up all of the available spaces you get a SLINGO and bonus points. Slingo is both frustrating (the Devil) and exhilarating (getting a Slingo) it also teaches stradegy, just which number do want to pick with a Joker the right pick can make all the difference. The game has several nice features it has automatic shut off, nice sound effects that are not too loud, a mute button if you want to use it, and it keeps track of your 5 highest scores to give you something to shoot for. The only feature that I did not like was the spin numbers and symbols (Joker, Free Spin, Gold Coin, Devil) that appear at the bottom of each row, these are the numbers and symbols that you use to match those on the screen. Unlike the rest of the numbers and symbols on the screen these are not bold and can be a hard to read. BOTTOM LINE THIS IS HANDS DOWN THE BEST ELECTRONIC GAME I HAVE EVER PLAYED!!!!",toys games,electronics for kids,unknown,board,False
37,B00001QEAQ,Ty Beanie Babies - Peace Bear,unknown,0/0,4,936489600,"If you are one of those people that collects these things, then by all means get it, because it will thrill and amaze you. For you kids, though--basically it'll just sit there, and adults you know will tell you that you shouldn't play with it, because it will be worth something someday. Whatever. Pretty durable if you decide not to listen to them. Not very educational--it doesn't espouse the virtues of peace, other than the cute little peace symbol.",toys games,stuffed animals plush,unknown,unknown,True
38,B00001QEAQ,Ty Beanie Babies - Peace Bear,unknown,0/0,5,936489600,Peace is a beautiful multicolored bear. No two are alike. He is very soft and highly sought after. Both children and adults love this adorable bear.,toys games,stuffed animals plush,unknown,stuff,False
39,B00000IZEW,Deluxe Edition Rummikub,unknown,8-Aug,5,936576000,"My wife and I enjoy Rummikub when it's just us playing, but I was quite surprised to see how well my 9 and 12 year old cousins enjoyed it! One of them even requested it as their birthday gift!",toys games,games,board games,unknown,False
40,B00000GBQL,Wise and Otherwise,unknown,21/22,5,936576000,"I LOVED THIS GAME. I PLAYED IT WITH A GROUP OF FUNNY, CLEVER PEOPLE AND I LAUGHED HARDER THAN I CAN EVER REMEMBER LAUGHING BEFORE. THE GAME AND THE INSTRUCTIONS ARE A LITTLE AKWARD AND SLOW TO START OFF WITH, BUT ONCE YOU GET ROLLING, IT IS A BLAST. IT REMINDS ME OF BALDERDASH EXCEPT THAT IT IS EASIER TO PLAY, GOES AT A FASTER PACE AND ALLOWS EVEN NOT SO FUNNY PEOPLE A MUCH EASIER CHANCE TO BE REALLY FUNNY. I THROUGHLY RECOMMEND IT.",toys games,games,board games,unknown,False
41,B00000IWDR,Guess Who? Board Game,unknown,77/83,3,937353600,"We bought this game 4 or 5 years ago, and were terribly DISAPPOINTED. Here's why",toys games,games,board games,unknown,False
42,B00001WRP8,"Warhammer 40,000",unknown,2-Feb,5,937353600,"This game contains all the rules and miniatures required for a person to get started gaming in the Warhammer 40,000 universe.This game provides hours of fun in many hobby like areas. Not only do you get to play the game, but players also get the opportunity to assemble and paint the figures contained with box.This game is better than any computer game or board based game. It encorporates imagination and artistry in one package.",toys games,games,unknown,unknown,True
43,B00000K1VS,Radio Flyer 32S All-Terrain Steel and Wood Wagon,unknown,118/125,5,937440000,"This wagon is awesome! The big air tires make it really easy to pull and it is a much softer ride for my 3 kids. Yes, this wagon is big enough for all 3 of them to go for a ride together. The bright,red wooden sides remove which makes it alot easier to load this wagon in the car when our family goes on &quot;field trips&quot;. The ATW is so big and rugged I use it for my gardening and yard work too.",toys games,tricycles,scooters wagons,push,False
44,B00000J068,"Trademark Global 10-4172010, Pocket travel electronic Checkers",unknown,9-Sep,3,939168000,"I have played checkers for over a year now, and I'm quite serious about the game. I was hoping for this hand held checkers game to fine tune my skills and learn some new moves. The game is very easy to play and very easy to hold. For begining play the game is difficult. Yet for anyone that is serious about the game and has been playing for over six months the computer opponent is very easy to beat, but for kids and people wanted to learn the exciting game of checkers it is a must to have. If they come out with another hand held game that is harder to beat, I will have to buy that one.",toys games,electronics for kids,unknown,unknown,True
45,B00000J00P,Battle of the Sexes Board Game,unknown,0/3,5,939772800,"I thought that the game was very amusing!! Veyr inventive idea and game that everyone can participate in. I really like the colours that they used, very bright and happy.",toys games,games,board games,unknown,False
46,B00005LBNR,Kids On Stage,unknown,12-Dec,5,940204800,My 3 year old and my 5 year old love to play Kids on Stage. They do a surprisingly good job of acting out the cards and are thrilled when someone guesses right. I like this game because its different from most of the board games out there for young kids- they have to think and plan out what they want to do. Most games for this age group rely on luck.,toys games,games,board games,unknown,False
47,B00000IZHP,Top Dog Game,unknown,10-Sep,5,940982400,"This is a great game for dog lovers! You even get to act out dog behavior. There are 6+ games in it, including &quot;Pet Store,&quot; &quot;Alpha Bet,&quot; and &quot;Playtime!&quot; If you like dogs (or any kind of animal), then get it.",toys games,games,board games,unknown,False
48,B00000IWFF,RISK,unknown,6-May,5,941068800,I have played Risk since I was 9 years old. I was introduced to the game by my older summer friends.After one round of me giving advice they said shut-up and play. Ever since then I have played the game from Alaska to Kamchatka. In the recent past I have played the the computer game. I would recomend this board game to those who want to and wish to spend invaluable time with their kids. There is nothing better than saying to your parent 3 armies from Brazil to North Africa and win the game. The new C.D. version of the game is also quite good.Risk On!It's a game that stays with you forever!,toys games,games,board games,board,False
49,B00000IV95,Quiddler,unknown,44/44,5,941155200,"My family started out playing Five Crowns (by the same company) but now Quiddler is our favorite game. Making words is much more challenging than compiling runs or sequences of numbers, and sometimes you come up with some hilarious combinations of words in a single hand. Fast paced and challenging, without being too complicated, Quiddler is one of the best games I have ever played (and I'm not much of a game player!)",toys games,games,card games,card,False
50,B00000GBQL,Wise and Otherwise,unknown,15/15,5,941328000,Count us as enthusiastic fans of this very fun and funny game. You'll be laughing every time the made-up sayings get read out loud. You just can't believe what some people come up with and that's the beauty of it. This game really is a must-have.,toys games,games,board games,unknown,False
51,B00000JHQ0,Duracell MN2400B2 AAA Alkaline Batteries (Pair),AL91D1BD8J3WG,6-Mar,5,941500800,"I've used these batteries my entire life in everything from Smoke Detectors, toys, flashlights...you name it! They are the unsung heros of electronic gadgets the world over.",health personal care,household supplies,household batteries,household,False
52,B000GRA6N8,Westing Game,unknown,0/0,5,941587200,"The Westing Game is a very intresting and a &quot;different&quot; book. I enjoyed it because I like mysteries,and this book keeped you reading on and keeped you on your toes. It made you really pay attention and really think about what you were reading. I really enjoyed it and I think you will enjoy it too!",toys games,games,unknown,unknown,True
53,B00000DMBF,Mastermind,unknown,18/19,4,942105600,"This game is the best logic IQ indicator I've ever encountered and, considering it is a hobby of mine, I have encountered a good deal. It is art in simplicity. Not so ''durable'' because of the very very small parts. Almost everyone I know loves this game.",toys games,games,board games,unknown,False
54,B00000IWEW,Bop It,unknown,12-Dec,5,942105600,"I work in a correctional facility for juveniles. This game entertain's them for hours. For some unknown reason, this game cannot be put down by anyone when they start playing it. If a group is playing this, the competion is out of control. Buy this thing!",toys games,games,board games,unknown,False
55,B000021Y5W,Family Business,unknown,0/3,4,942364800,"This game is loads of cutthroat fun for semi-mature players. Whether someone is doing his/her best impersonation of Marlon Brando in his Godfather role, is desperately trying to protect the not-so-lucky &quot;Lucky&quot; Lucziano or is randomly penalizing others for imagined slights to his/her Moran Gang, it's always a blast. Here you'll find a constant barrage of contracts to exterminate your enemies, a healthy dose of backstabbing and a good sampling of weaseling out the very quiet but very powerful player. It's not really a game for your dates...unless neither of you mind having contracts placed on your hide by the other. Overall, the game is fast-paced, well-designed and just plain fun. I would recommend it to any group of semi-mature individuals bent on vengeance against one another.",toys games,games,card games,card,False
56,B000GYUXMU,Crayola Model Magic (2 Pound Tub) - in your choice of colors,unknown,17/18,5,942710400,"My kids have alot of fun with this spongy clay. They love mixing up new colors and creating figures that even float in the tub. I like that it doesn't have an odor and doesn't make much of a mess.One bad thing (as it is with most modeling clays)is that little pieces (like attached eyes and noses), after the figures have dried, fall off really easily. Otherwise, the figures are pretty durable.",toys games,arts crafts,clay dough,cl,False
57,B00000IWDB,Scrabble Crossword Game,unknown,35/37,4,942710400,"the board will not lay flat and this presents a real inconvenience. otherwise the game is wonderful and stimulating to the mind. As I said however, am disenchanted with the board construction.",toys games,games,board games,unknown,False
58,B000GRA6N8,Westing Game,unknown,0/2,2,942796800,"The book called &quot;The Westing Game&quot; was like all theother books that have a mysterious murderer. In almaost every mysterybook that i have read there is always a murderer that is on the loose. Although the book's ending caught me off gaurd i still wouldn't recamend it to a person who is looking for something different that you dont normaly see in books now-a-days. I do like the ending because it had a surprise to it, i admit that i would have never guessed that it would end up like it did.",toys games,games,unknown,unknown,True
59,B00000J0HU,Sassy 836 - Fascination Station,unknown,34/35,5,942796800,"I bought this toy for my second daughter almost 2 years ago. I loved the colors and all the different rattles, but mostly I bought it to attach to my Exersaucer. Unfortunately, I have one of the VERY early models and the suction cup does not fit, and I've found that it doesn't stick very well to other surfaces either. (Perhaps they have fixed this since other reviews are saying how well it sticks.) Anyway, my daughter loved playing with it so much that I decided to keep it.Today, I just brought it out to show my twins - they were enthralled! The only minor problem is that the cylinder with the little ball has gotten rusty from me washing it (since it is TOOOO attractive for little mouths). I'm going to try putting it in the dishwasher, but I'm not sure that it will come clean.All in all, I would definitely purchase it again as it gave my second daughter and now my new ones so much joy.",toys games,baby toddler toys,unknown,unknown,True
60,B000052X6H,"Breathe Right Nasal Strips, Large, 30 ea - PARENT",unknown,1-Jan,5,942883200,"I liked the Breath Right Nasal Strips. They kept my nostrils open all night, and I have had no problem with them lasting all night. As a matter of fact, until I started taking them off in the shower, they were still very secure when morning came around. I had a difficult time peeling them off until I got them wet and soapy. I also appreciate the fact that I don't have to take drugs to keep my nose clear at night.",health personal care,health care,allergy,unknown,False
61,B00000IWFF,RISK,unknown,23/31,5,942883200,"Risk has been a passion of mine for years. It truly challenges the mind. There are millions of different strategies that you have to develop, if you want to become a true Risk master. If you liked this game, I would HIGHLY recommend Axis &amp; Allies, a more realistic, but more complicated game.",toys games,games,board games,unknown,False
62,B00000J4TE,Tiny Love Gymini Deluxe - Noah's Ark,unknown,31/33,4,943142400,I bought this toy before I had the baby. At the very beginning my newborn couldn't care less and I figured I spent my money on nothing. Now at 3 mos of age she is enjoying laying and looking up at her 'friends'. She bats at the figures and giggles at them and &quot;flirts&quot; with them too. I don't feel like I spent my money on nothing anymore... especially since at the age she is at now theres not much she CAN do. I'm pleased with this one. It is also nice because the arches fold down and the mat folds in half and stays there with snaps.,baby products,gear,baby gyms playmats,unknown,False
63,B0000530JU,Gillette SensorExcel Razor for Women - 1 ea,unknown,0/0,4,943142400,This shaver was much better than others I have tried in the past. It didn't leave me with tiny areas of bleeding. It gives a nice smooth shave. The handle is very easy to grip while in the shower. I'd gladly recommend this product for all females in need of a new shaver.,health personal care,personal care,shaving hair removal,personal,False
64,B000052YMV,Cetaphil Gentle Skin Cleanser - 16 fl oz,unknown,0/1,4,943228800,"I've actually used Cetaphil in the past and it was a pleasure to be reintroduced to it. I have very dry skin, and this cleanser didn't leave my skin feeling tight or itchy, like other cleansers do. I preferred using the water-free method of cleansing -- just rub it on and wipe it off with a soft cloth. It left my skin feeling nice, smooth, and clean, because I could see the dirt on the cloth! It's a good value for the price, too. A bottle this size will last a long time.",beauty,skin care,face,cle,False
65,B00000IWFB,Bop It Extreme,unknown,37/37,5,943228800,"I play for a college soccer team, and on one of our away games one of the girls brought along extreme bop-it. The trip was almost three hours long, but because of extreme bop-it we had so much fun. We couldn't stop playing! We had a great time challenging each other, and it really helps with your eye-hand coordination too.",toys games,electronics for kids,unknown,unknown,True
66,B00000J03G,Magna doodle,unknown,13/15,4,943315200,FLIMSY FLIMSY FLIMSY! FOR THE PRICE YOU THINK THEY COULD MAKE IT A LITTLE MORE STURDY!,toys games,arts crafts,drawing sketching tablets,unknown,False
67,B00000IWHI,Guesstures Game,unknown,36/38,5,943401600,"Like to get loud and laugh? Need something to liven the crowd and lower inhibitions? Love charades but have a hard time coming up with catergories and clues? Then this is your game! Fast paced hilarity for all, can really get everyone involved. 2 to 4 teams of any size. A favorite of our game night crowd.",toys games,games,board games,unknown,False
68,B00000ISC5,Insect Lore Live Butterfly Garden,unknown,124/130,5,943574400,We have used this kit at our science museum in Dallas for several years. The company is reliable and the children have rarely been disappointed with their catterpillars. My own children still ask me to buy the catterpillars every year and never tire of watching the metamorphosis take place right before their eyes. I highly recommend this product for all ages and it makes a great children's birthday gift.,toys games,learning education,habitats,unknown,False
69,B00000IZJB,Rummikub,unknown,5-Mar,4,943574400,The game is a lot of fun to play once you get into it. I played it at a camp retreat and we kept playing it for hours!,toys games,games,board games,unknown,False
70,B00002SWFH,Bounce 'N Sing Tigger and Roo,unknown,21/21,5,943660800,I bought my niece the original bounce around tigger and she loved it so when I saw this one I knew she had to have it too. And I was right she won't put it down and now she walks around singing the song Tigger and Roo sing! If you like Tigger then you'll love this toy.,toys games,stuffed animals plush,animals figures,unknown,False
71,B00000IWFD,Outburst - 15th Anniversary Edition,unknown,29/36,5,943660800,"If you liked the original Outburst, you'll love this enhanced version. It really adds to the fun with the three sections of the game. Takes some thinking to do the reverse outburst cards, and the challenge can bring you from behind quickly even when you think you may not win. Great and noisy for a group, we went through half the game cards in one sitting because we couldn't quit playing.",toys games,games,board games,unknown,False
72,B00000DMBJ,Taboo by Milton Bradley,unknown,14/15,5,943833600,"This game keeps people hopping. I played with ages up to 90 years old and although they got somewhat frustrated, I could tell they loved it. It calls for fast thinking on your feet and really livens up a party. It can make even the quitest person noisy. We played Trivial Pursuit after this and I wanted to fall asleep!",toys games,games,board games,unknown,False
73,B00000IZEW,Deluxe Edition Rummikub,unknown,11-Nov,5,943833600,The gmae Rummikub is one of my most favorite games. When ever i go to my aunts house in Pennsylvania I play it. It is a game perfect for a ages 10 and above. It really makes you think and it is always going to be a different game. You do not need to know many rules in order to play. Only your 123's and colors.,toys games,games,board games,unknown,False
